Type,Threads,Cache_References
cpu_bound,2,13868908
cpu_bound,4,16387504
cpu_bound,8,24329926
cpu_bound,10,26437503
cpu_bound,50,29067153
cpu_bound,100,29916659
memory_bound,2,1048648221
memory_bound,4,947827916
memory_bound,8,934014271
memory_bound,10,886213768
memory_bound,50,901599413
memory_bound,100,898100694
io_bound,2,584175
io_bound,4,971602
io_bound,8,1516506
io_bound,10,1916566
io_bound,50,9824262
io_bound,100,18989922
mixed_workload,2,972193
mixed_workload,4,1476861
mixed_workload,8,1920171
mixed_workload,10,2278941
mixed_workload,50,8852740
mixed_workload,100,17253926
